id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,quote
31503,Bitget Wallet Token,BWB,bitget-wallet-token,15,2024-05-29T07:20:08.000Z,"wallet, governance, web3",,134920247.0,1000000000.0,Ethereum,"{'price': 0.30383621922066884, 'volume_24h': 5197525.07047885, 'volume_change_24h': 10.607, 'percent_change_1h': 0.56304125, 'percent_change_24h': -6.44080283, 'percent_change_7d': 2.42845809, 'percent_change_30d': -13.22974398, 'percent_change_60d': -27.38843549, 'percent_change_90d': -18.49362218, 'market_cap': 40993657.74479879, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 303836219.22, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
5877,RARI,RARI,rarible,80,2020-07-20T00:00:00.000Z,"collectibles-nfts, dao, coinbase-ventures-portfolio, governance, coinfund-portfolio",,23834553.00395323,25000000.0,Ethereum,"{'price': 1.715735265029891, 'volume_24h': 543252.80647475, 'volume_change_24h': -1.5032, 'percent_change_1h': 0.29246077, 'percent_change_24h': 3.18265841, 'percent_change_7d': 4.32956842, 'percent_change_30d': 17.92671209, 'percent_change_60d': -16.74520909, 'percent_change_90d': -19.76170417, 'market_cap': 40893783.11510668, 'market_cap_dominance': 0.002, 'fully_diluted_market_cap': 42893381.63, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
30912,MANEKI,MANEKI,maneki-coin,104,2024-04-25T07:28:11.000Z,"memes, solana-ecosystem, cat-themed",,8422887212.0,8888887212.0,Solana,"{'price': 0.004837606546749326, 'volume_24h': 8988379.50842891, 'volume_change_24h': -2.9476, 'percent_change_1h': -1.37561947, 'percent_change_24h': -13.46890211, 'percent_change_7d': 13.23837884, 'percent_change_30d': 37.1510818, 'percent_change_60d': -40.81148655, 'percent_change_90d': -41.07470853, 'market_cap': 40746614.31930238, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 43000938.97, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
29104,DecideAI,DCD,decideai,5,2024-01-25T10:35:51.000Z,"platform, ai-big-data, internet-computer-ecosystem",1000000000.0,488677471.0,981473305.19,ICP,"{'price': 0.08328224505686624, 'volume_24h': 427135.63545583, 'volume_change_24h': -9.6741, 'percent_change_1h': -1.61345404, 'percent_change_24h': -9.83090781, 'percent_change_7d': 20.25008121, 'percent_change_30d': 684.55076093, 'percent_change_60d': 829.65012792, 'percent_change_90d': 1415.78681117, 'market_cap': 40698156.89359164, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 83282245.06, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
28829,Heroes of Mavia,MAVIA,heroes-of-mavia,86,2024-02-06T12:20:20.000Z,"collectibles-nfts, gaming, ethereum-ecosystem, binance-labs-portfolio, exnetwork-capital-portfolio, animoca-brands-portfolio, base-ecosystem",256989887.032251,33062882.0,250000000.0,Ethereum,"{'price': 1.2295955730151455, 'volume_24h': 6211339.06054815, 'volume_change_24h': -4.6271, 'percent_change_1h': -2.23357368, 'percent_change_24h': -8.15249203, 'percent_change_7d': 4.37210316, 'percent_change_30d': -6.848508, 'percent_change_60d': -53.51754588, 'percent_change_90d': -34.14418685, 'market_cap': 40653973.33832214, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 315993627.4, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
30449,Tensor,TNSR,tensor,179,2024-04-08T11:24:28.000Z,"collectibles-nfts, solana-ecosystem",,125000000.0,1000000000.0,Solana,"{'price': 0.32463034170544375, 'volume_24h': 9469381.0809574, 'volume_change_24h': -2.5721, 'percent_change_1h': -0.80145386, 'percent_change_24h': -8.00118874, 'percent_change_7d': -2.20293323, 'percent_change_30d': -4.21884613, 'percent_change_60d': -40.74824957, 'percent_change_90d': -49.35657425, 'market_cap': 40578792.71318047, 'market_cap_dominance': 0.002, 'fully_diluted_market_cap': 324630341.71, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
5631,Orion,ORN,orion-xyz,115,2020-07-16T00:00:00.000Z,"defi, dex, avalanche-ecosystem, dao-maker, exnetwork-capital-portfolio, fantom-ecosystem, injective-ecosystem",100000000.0,34146255.0,92631255.0,Ethereum,"{'price': 1.1862583370733266, 'volume_24h': 2738439.8500962, 'volume_change_24h': -25.415, 'percent_change_1h': 0.18991121, 'percent_change_24h': -0.68086161, 'percent_change_7d': 10.10326651, 'percent_change_30d': 11.78611737, 'percent_change_60d': -24.82805771, 'percent_change_90d': -32.51511595, 'market_cap': 40506279.673581764, 'market_cap_dominance': 0.002, 'fully_diluted_market_cap': 118625833.71, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
27750,Toshi,TOSHI,toshithecat,73,2023-08-04T09:39:48.000Z,"memes, base-ecosystem, cat-themed",420690000000.0,408069300000.0,420690000000.0,Base,"{'price': 9.835308201672899e-05, 'volume_24h': 1461336.82332856, 'volume_change_24h': 13.1304, 'percent_change_1h': -0.51322715, 'percent_change_24h': -7.33175565, 'percent_change_7d': 19.68282705, 'percent_change_30d': -24.24813914, 'percent_change_60d': -65.88820002, 'percent_change_90d': -63.48881783, 'market_cap': 40134873.331409186, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 41376158.07, 'tvl': None, 'last_updated': '2024-09-16T02:24:00.000Z'}"
8384,CLV,CLV,clover,103,2021-02-03T00:00:00.000Z,"ethereum-ecosystem, substrate, fantom-ecosystem, okx-ventures-portfolio, bnb-chain",,1000000000.0,1000000000.0,Ethereum,"{'price': 0.04015034442539834, 'volume_24h': 5260386.57367718, 'volume_change_24h': -2.1956, 'percent_change_1h': -1.96640053, 'percent_change_24h': -7.94718102, 'percent_change_7d': 4.32262647, 'percent_change_30d': 5.3644274, 'percent_change_60d': -26.72176976, 'percent_change_90d': -19.66692619, 'market_cap': 40150344.42539834, 'market_cap_dominance': 0.002, 'fully_diluted_market_cap': 40150344.43, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
24698,HyperCycle,HYPC,hypercycle,20,2023-05-08T18:26:48.000Z,seedify,2147483648.0,155122742.0,2147483648.0,Ethereum,"{'price': 0.25814901612279806, 'volume_24h': 22190.01299611, 'volume_change_24h': 61.9874, 'percent_change_1h': 0.0063686, 'percent_change_24h': -2.89795518, 'percent_change_7d': 3.33193582, 'percent_change_30d': 1.48209641, 'percent_change_60d': -31.04546819, 'percent_change_90d': -33.16240571, 'market_cap': 40044783.22557064, 'market_cap_dominance': 0, 'fully_diluted_market_cap': 554370790.87, 'tvl': None, 'last_updated': '2024-09-16T02:25:00.000Z'}"
